"ID";"ANYO_PROCESO";"COD_CARRERA";"COD_UNIVERSIDAD";"AUTOEFICACIA";"MOT_APRENDIZAJE";"MOT_DESEMPENO";"AUTORREGULACION"
"L2164231756";2025;56524;56;"3";"3";"2";"3"
"L2665851751";2025;32061;32;"1";"2";"1";"1"
"L5365951762";2025;32164;32;"3";"2";"1";"2"
"L1066201752";2025;56208;56;"1";"1";"1";"1"
"L6067161758";2025;56424;56;"1";"1";"1";"1"
"L2867451759";2025;12017;12;"1";"2";"";"2"
"L0968111760";2025;12028;12;"1";"2";"2";"1"
"L4069201759";2025;49119;49;"2";"2";"";"2"
"L8170421762";2025;16048;16;"1";"1";"2";"1"
"L9371541756";2025;25027;25;"1";"2";"1";"2"
"L8871821751";2025;32135;32;"2";"3";"3";"2"
"L5472061752";2025;32164;32;"1";"3";"2";"3"
"L7072751751";2025;50119;50;"3";"3";"1";"2"
"L8172961753";2025;16047;16;"2";"3";"1";"2"
"L8672991753";2025;11528;11;"1";"3";"1";"2"
"L4173341753";2025;20096;20;"2";"3";"3";"1"
"L3573381760";2025;38005;38;"2";"2";"2";"2"
"L2574051758";2025;56418;56;"2";"2";"1";"1"
"L2374461756";2025;51152;51;"2";"1";"1";"2"
"L1774751754";2025;47431;47;"";"";"";"3"
"L0874941760";2025;55056;55;"2";"2";"2";"2"
"L2576231754";2025;49102;49;"2";"2";"2";"2"
"L6376511757";2025;38167;38;"2";"2";"2";"2"
"L3578461754";2025;53401;53;"3";"3";"2";"3"
"L0979541757";2025;34039;34;"3";"3";"1";"2"
"L0380511759";2025;26080;26;"2";"2";"2";"2"
"L7380861762";2025;41091;41;"2";"1";"1";"1"
"L0581021759";2025;41168;41;"3";"3";"2";"2"
"L4081041756";2025;27023;27;"3";"2";"2";"1"
"L1381101758";2025;12088;12;"3";"2";"1";"1"
"L1281321756";2025;29082;29;"1";"2";"1";"2"
"L5781511755";2025;19085;19;"3";"2";"1";"2"
"L8382431752";2025;49231;49;"1";"1";"2";"1"
"L7583051752";2025;41058;41;"3";"3";"2";"2"
"L3083421760";2025;12042;12;"2";"3";"1";"1"
"L3983481755";2025;46306;46;"2";"2";"1";"2"
"L5384831758";2025;20011;20;"3";"3";"3";"3"
"L2785421754";2025;49203;49;"1";"2";"2";"2"
"L1885761758";2025;55044;55;"2";"1";"2";"1"
"L8887271751";2025;13039;13;"2";"2";"2";"3"
